date_time,price,lower_interval,upper_interval
2021-01-14 00:00:00,27.14062776269909,13.33094641142604,40.95030911397214
2021-01-14 01:00:00,27.290292796061987,13.107112243868354,41.473473348255624
2021-01-14 02:00:00,27.363440122605294,12.872983869240654,41.85389637596993
2021-01-14 03:00:00,26.419184939897065,12.425866492037386,40.41250338775674
2021-01-14 04:00:00,29.58079970720514,15.941993609835977,43.21960580457431
2021-01-14 05:00:00,33.35661332096006,18.91887945817134,47.794347183748776
2021-01-14 06:00:00,37.318115274385626,20.91973876246682,53.71649178630443
2021-01-14 07:00:00,48.9970004291972,30.96839158332344,67.02560927507096
2021-01-14 08:00:00,58.713622428726,41.210221410167556,76.21702344728445
2021-01-14 09:00:00,56.31903111374547,39.30355182110725,73.33451040638369
2021-01-14 10:00:00,58.80263114139797,42.22707338129905,75.37818890149688
2021-01-14 11:00:00,60.330801547164235,44.08186676383013,76.57973633049835
2021-01-14 12:00:00,59.42045247127038,43.055367544823696,75.78553739771706
2021-01-14 13:00:00,59.18824952299408,42.60445233611337,75.77204670987479
2021-01-14 14:00:00,59.58949842559676,43.46407661798014,75.71492023321338
2021-01-14 15:00:00,,,
2021-01-14 16:00:00,,,
2021-01-14 17:00:00,,,
2021-01-14 18:00:00,,,
2021-01-14 19:00:00,,,
2021-01-14 20:00:00,,,
2021-01-14 21:00:00,,,
2021-01-14 22:00:00,,,
2021-01-14 23:00:00,,,
